candidate_id,source_repository,title,doi,url,publisher,year,license_declared,access_declared,files_n,size_bytes,resource_type,matched_query,relevance_score,provisional_tier,mentions_ultrasound,mentions_dataset
10.14457/cu.doc.2023.25,datacite,อุปกรณ์นำทางเข็มสำหรับเครื่องอัลตราซาวด์เพื่อการเจาะน้ำไขสันหลัง (point-assisted spinal sonography ( PASSTM) for lumbar puncture),10.14457/cu.doc.2023.25,http://doi.nrct.go.th/?page=resolve_doi&resolve_doi=10.14457/CU.doc.2023.25,ศูนย์ประชุมวิชาการ คณะแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย,2023,,,,,,lumbar puncture ultrasound,16,T0,True,False
openaire:Does Ultrasound Scanning of the Lumbar Spine Improve Patient Satisfaction and the Ease of Insertion of Labour E,openaire,Does Ultrasound Scanning of the Lumbar Spine Improve Patient Satisfaction and the Ease of Insertion of Labour Epidural Catheters,,,,2009,,,,,,lumbar spine ultrasound,16,T0,True,True
10.3410/f.10640956.11516055,openaire,Faculty Opinions recommendation of [CONFERENCE POSTER]: Atlas-augmented ultrasound guidance of lumbar epidural needle insertions.,10.3410/f.10640956.11516055,,,2011,,,,,,epidural ultrasound,15,T0,True,False
10.48804/3xpcae,datacite,"A large, paired dataset of robotic and handheld lumbar spine ultrasound with ground truth CT benchmarking.",10.48804/3xpcae,https://rdr.kuleuven.be/citation?persistentId=doi:10.48804/3XPCAE,KU Leuven RDR,2024,cc-by-4.0,,,,,lumbar spine ultrasound,14,T0,True,True
openaire:Lumbar Spine Ultrasound of Patients With Previous Accidental Dural Puncture During Labour Epidural,openaire,Lumbar Spine Ultrasound of Patients With Previous Accidental Dural Puncture During Labour Epidural,,,,2007,,,,,,lumbar spine ultrasound,14,T0,True,False
10.17632/nzxs7xp2xx,datacite,Data for: Ultrasound-Assisted Lumbar Puncture in the Pediatric Emergency Department: A Randomized Controlled Trial and Meta-analysis,10.17632/nzxs7xp2xx,https://data.mendeley.com/datasets/nzxs7xp2xx,Mendeley,2021,cc-by-4.0,,,,,lumbar puncture ultrasound,12,T0,True,False
10.17632/nzxs7xp2xx.1,datacite,Data for: Ultrasound-Assisted Lumbar Puncture in the Pediatric Emergency Department: A Randomized Controlled Trial and Meta-analysis,10.17632/nzxs7xp2xx.1,https://data.mendeley.com/datasets/nzxs7xp2xx/1,Mendeley,2021,cc-by-4.0,,,,,lumbar puncture ultrasound,12,T0,True,False
openaire:Does Static Ultrasound-Preview Reduce the Incidence of Traumatic and/or Difficult Lumbar Puncture? A Randomized,openaire,Does Static Ultrasound-Preview Reduce the Incidence of Traumatic and/or Difficult Lumbar Puncture? A Randomized Control Trial,,,,2006,,,,,,lumbar spine ultrasound,12,T0,True,False
openaire:Bedside Ultrasound Assisted Pediatric Lumbar Puncture--A Randomized Controlled Trial,openaire,Bedside Ultrasound Assisted Pediatric Lumbar Puncture--A Randomized Controlled Trial,,,,2014,,,,,,lumbar puncture ultrasound,12,T0,True,False
openaire:Sonographic Visualization vs Palpation Technique for Infant Lumbar Puncture,openaire,Sonographic Visualization vs Palpation Technique for Infant Lumbar Puncture,,,,2015,,,,,,lumbar puncture ultrasound,12,T0,True,False
10.5256/f1000research.16133.d216926,openaire,Keywords identified during discussions surrounding use of ultrasound in lumbar puncture.,10.5256/f1000research.16133.d216926,,,2025,,,,,,lumbar puncture ultrasound,12,T0,True,False
openaire:A Randomized Controlled Trial of Ultrasound-Assisted Versus Traditional Landmark Lumbar Puncture in the Neonata,openaire,A Randomized Controlled Trial of Ultrasound-Assisted Versus Traditional Landmark Lumbar Puncture in the Neonatal and Infant Population,,,,2016,,,,,,lumbar puncture ultrasound,12,T0,True,False
10.5281/zenodo.4813508,zenodo,Multimodal 3D ultrasound and CT in image-guided spinal surgery: public database and new registration algorithms,10.5281/zenodo.4813508,https://zenodo.org/records/4813508,,2021,cc-by-4.0,open,1,148576333,dataset,lumbar puncture ultrasound,12,T0,True,True
10.5281/zenodo.4269776,zenodo,Technical Feasibility of Electromagnetic US/CT Fusion Imaging and Virtual Navigation in the Guidance of Spine Biopsies,10.5281/zenodo.4269776,https://zenodo.org/records/4269776,,2020,,restricted,0,0,dataset,lumbar puncture ultrasound,12,T0,True,True
10.7910/dvn/m7oagk,datacite,Effect of ultrasound-guided ilioinguinaliliohypogastric nerve block on chronic pain in patients undergoing open inguinal hernia surgery under spinal anesthesia: a randomized doubleblind study,10.7910/dvn/m7oagk,https://dataverse.harvard.edu/citation?persistentId=doi:10.7910/DVN/M7OAGK,Harvard Dataverse,2024,cc0-1.0,,,,,spinal anesthesia ultrasound,11,T0,True,False
10.5281/zenodo.14237778,datacite,Ultrasound-guided four-nerve combined block and spinal anesthesia in below-the-knee limb amputation in the elderly and  blood pressure fluctuations,10.5281/zenodo.14237778,https://zenodo.org/doi/10.5281/zenodo.14237778,Zenodo,2024,cc-by-4.0,,,,,spinal anesthesia ultrasound,11,T0,True,False
10.5281/zenodo.14237777,datacite,Ultrasound-guided four-nerve combined block and spinal anesthesia in below-the-knee limb amputation in the elderly and  blood pressure fluctuations,10.5281/zenodo.14237777,https://zenodo.org/doi/10.5281/zenodo.14237777,Zenodo,2024,cc-by-4.0,,,,,spinal anesthesia ultrasound,11,T0,True,False
openaire:Efficacy of the Epidural Positioning Device (EPD) on Optimising the Acoustic Target Window for Neuraxial Needle,openaire,Efficacy of the Epidural Positioning Device (EPD) on Optimising the Acoustic Target Window for Neuraxial Needle Placement,,,,2016,,,,,,neuraxial ultrasound,11,T0,False,False
openaire:Comparison Between Palpatory and Preprocedural Ultrasound Guided Techniques on Performance of Spinal Anesthesia,openaire,Comparison Between Palpatory and Preprocedural Ultrasound Guided Techniques on Performance of Spinal Anesthesia in Term Parturients Undergoing Elective Caesarian Section- A Randomized Control Trial,,,,2013,,,,,,lumbar spine ultrasound,10,T0,True,False
openaire:Ultrasound Confirmation of Neuraxial Anesthetic Vertebral Level in Post-partum Patients,openaire,Ultrasound Confirmation of Neuraxial Anesthetic Vertebral Level in Post-partum Patients,,,,2015,,,,,,neuraxial ultrasound,10,T0,True,False
