fold,train_regime,test_modality,n_test_subjects,n_test_frames_annotated,n_test_frames_empty_label,subject_mean_dice,subject_sd_dice,subject_min_dice,subject_max_dice,subject_mean_iou,subject_mean_tol_f1,frame_mean_dice,empty_label_false_positive_rate,test_subjects
0,HUS,HUS,2,593,39,0.5806,0.0311,0.5495,0.6117,0.4224,0.7837,0.58,0.8974358974358975,URS08|URS16|URS31
0,HUS,RUS,3,1278,69,0.568,0.0161,0.5465,0.585,0.4142,0.7587,0.5626,0.8260869565217391,URS08|URS16|URS31
0,RUS,HUS,2,593,39,0.61,0.0259,0.5841,0.6359,0.457,0.7941,0.6095,0.717948717948718,URS08|URS16|URS31
0,RUS,RUS,3,1278,69,0.5972,0.0338,0.5642,0.6436,0.4475,0.773,0.5941,0.7536231884057971,URS08|URS16|URS31
0,BOTH,HUS,2,593,39,0.6253,0.0209,0.6045,0.6462,0.4686,0.8132,0.6249,0.8461538461538461,URS08|URS16|URS31
0,BOTH,RUS,3,1278,69,0.6102,0.0111,0.5989,0.6254,0.4595,0.7845,0.6094,0.7536231884057971,URS08|URS16|URS31
1,HUS,HUS,2,653,21,0.5088,0.0266,0.4822,0.5353,0.3585,0.7068,0.5109,0.9047619047619048,URS26|URS36|URS51
1,HUS,RUS,3,1311,55,0.4964,0.0143,0.4835,0.5164,0.346,0.6885,0.5007,0.9636363636363636,URS26|URS36|URS51
1,RUS,HUS,2,653,21,0.5444,0.0048,0.5395,0.5492,0.3931,0.7333,0.5448,0.5714285714285714,URS26|URS36|URS51
1,RUS,RUS,3,1311,55,0.5631,0.0257,0.528,0.5889,0.4051,0.7661,0.5689,0.7818181818181819,URS26|URS36|URS51
1,BOTH,HUS,2,653,21,0.5652,0.0119,0.5533,0.5771,0.4134,0.7524,0.5662,0.8095238095238095,URS26|URS36|URS51
1,BOTH,RUS,3,1311,55,0.5652,0.0264,0.5325,0.5973,0.4089,0.759,0.5723,0.7636363636363637,URS26|URS36|URS51
2,HUS,HUS,3,1076,0,0.4053,0.0345,0.359,0.4418,0.2746,0.5934,0.406,,URS40|URS45|URS54
2,HUS,RUS,3,1087,0,0.406,0.0776,0.301,0.4861,0.2714,0.5896,0.4031,,URS40|URS45|URS54
2,RUS,HUS,3,1076,0,0.5308,0.0086,0.5216,0.5424,0.3783,0.7371,0.5311,,URS40|URS45|URS54
2,RUS,RUS,3,1087,0,0.5194,0.0163,0.4986,0.5383,0.3704,0.719,0.5181,,URS40|URS45|URS54
2,BOTH,HUS,3,1076,0,0.5412,0.0144,0.5216,0.5556,0.3898,0.7364,0.5419,,URS40|URS45|URS54
2,BOTH,RUS,3,1087,0,0.5395,0.0153,0.5178,0.5515,0.3886,0.7359,0.5386,,URS40|URS45|URS54
