split,image,nearest_train_image,cosine
val,predict10_scaled-A0091_frame1.png,predict9_scaled-A0038_frame142.png,0.798776
val,predict10_scaled-A0091_frame10.png,predict9_scaled-A0038_frame142.png,0.796885
val,predict10_scaled-A0091_frame100.png,predict4_scaled-A0147_frame72.png,0.755025
val,predict10_scaled-A0091_frame101.png,predict4_scaled-A0147_frame72.png,0.759361
val,predict10_scaled-A0091_frame102.png,predict4_scaled-A0147_frame72.png,0.762685
val,predict10_scaled-A0091_frame103.png,predict4_scaled-A0147_frame71.png,0.756998
val,predict10_scaled-A0091_frame104.png,predict4_scaled-A0147_frame72.png,0.768001
val,predict10_scaled-A0091_frame105.png,predict4_scaled-A0147_frame72.png,0.766351
val,predict10_scaled-A0091_frame106.png,predict4_scaled-A0147_frame72.png,0.775358
val,predict10_scaled-A0091_frame107.png,predict4_scaled-A0147_frame72.png,0.773393
val,predict10_scaled-A0091_frame108.png,predict4_scaled-A0147_frame72.png,0.769748
val,predict10_scaled-A0091_frame109.png,predict4_scaled-A0147_frame72.png,0.760311
val,predict10_scaled-A0091_frame11.png,predict9_scaled-A0038_frame142.png,0.7955
val,predict10_scaled-A0091_frame12.png,predict9_scaled-A0037_frame78.png,0.794437
val,predict10_scaled-A0091_frame13.png,predict9_scaled-A0038_frame142.png,0.793991
val,predict10_scaled-A0091_frame14.png,predict9_scaled-A0038_frame142.png,0.79164
val,predict10_scaled-A0091_frame15.png,predict9_scaled-A0037_frame77.png,0.788178
val,predict10_scaled-A0091_frame16.png,predict9_scaled-A0037_frame77.png,0.787054
val,predict10_scaled-A0091_frame17.png,predict9_scaled-A0037_frame77.png,0.785573
val,predict10_scaled-A0091_frame18.png,predict9_scaled-A0037_frame77.png,0.782257
val,predict10_scaled-A0091_frame19.png,predict9_scaled-A0038_frame128.png,0.78011
val,predict10_scaled-A0091_frame2.png,predict9_scaled-A0038_frame142.png,0.798072
val,predict10_scaled-A0091_frame20.png,predict9_scaled-A0038_frame140.png,0.774505
val,predict10_scaled-A0091_frame21.png,predict9_scaled-A0038_frame128.png,0.77116
