subject,scan,modality,protocol,frames_listed,frames_nonempty,frames_empty,mean_bone_px,min_bone_px,max_bone_px
URS08,H1,HUS,handheld,308,291,17,2135.6,0,6681
URS08,R2,RUS,robotic_perpendicular,354,316,38,1843.8,0,6865
URS16,H3,HUS,handheld,324,302,22,1738.5,0,6547
URS16,R1,RUS,robotic_perpendicular,356,326,30,2051.2,0,6136
URS26,H3,HUS,handheld,321,300,21,1967.7,0,7304
URS26,R1,RUS,robotic_perpendicular,377,350,27,2057.4,0,8974
URS31,D2,RUS,robotic_other,320,319,1,2331.0,0,6233
URS31,R2,RUS,robotic_perpendicular,317,317,0,1988.2,348,5330
URS36,D2,RUS,robotic_other,337,337,0,1547.3,440,4677
URS36,H2,HUS,handheld,353,353,0,1392.0,202,3386
URS40,H4,HUS,handheld,355,355,0,1420.5,366,5172
URS40,R1,RUS,robotic_perpendicular,322,322,0,1114.0,222,2910
URS45,H2,HUS,handheld,381,381,0,1198.3,160,3836
URS45,R2,RUS,robotic_perpendicular,395,395,0,1523.2,271,4717
URS51,D2,RUS,robotic_other,325,297,28,1638.5,0,5694
URS51,R2,RUS,robotic_perpendicular,327,327,0,1685.2,249,4063
URS54,D1,RUS,robotic_other,370,370,0,1362.8,203,3043
URS54,H3,HUS,handheld,340,340,0,1049.8,186,3102
