category,rank,pmid,pmcid,doi,title,authors_first,journal,year,pub_types,is_open_access,in_pmc,license,cited_by,abstract_snippet,europepmc_url,query
lumbar_puncture_clinical,1,17901137,,10.7863/jum.2007.26.10.1341,A randomized controlled trial of ultrasound-assisted lumbar puncture,Nomura JT,Journal of ultrasound in medicine : official journal of the American Institute of Ultrasound in Medicine,2007,Randomized Controlled Trial|Journal Article,N,N,,84,"<h4>Objective</h4>Evidence showing the systematic utility of ultrasound imaging during lumbar puncture (LP) in the emergency department is lacking. Our hypothesis was that ultrasound-assisted LP would increase the success rate and ease of performing LP with a greater benefit in obese patients.<h4>Methods</h4>This was an Institutional Review Board-approved, randomized, prospective, double-blind stu",https://europepmc.org/article/MED/17901137,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,2,17349909,,10.1016/j.ajem.2006.07.010,The use of ultrasound to identify pertinent landmarks for lumbar puncture,Stiffler KA,The American journal of emergency medicine,2007,Journal Article,N,N,,75,"<h4>Objective</h4>This study was conducted to assess the ultrasound's (US's) ability to identify pertinent landmarks for lumbar puncture (LP) in patients of various body mass indices (BMIs) and establish spatial relationships of pertinent LP landmarks across BMIs.<h4>Methods</h4>In this institutional review board-approved cross-sectional study, we calculated the BMIs of eligible patients and then ",https://europepmc.org/article/MED/17349909,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,3,15528885,,10.1159/000081912,Lumbar puncture and dural sinus thrombosis--a causal or casual association?,Canhão P,"Cerebrovascular diseases (Basel, Switzerland)",2005,"Research Support, Non-U.S. Gov't|Journal Article",N,N,,69,"<h4>Background</h4>A few cases of cerebral venous thrombosis (CVT) were reported after a lumbar puncture (LP), suggesting a causal association. The purpose of our study was to document that LP might predispose to CVT by decreasing blood flow velocities (BFV) in veins or dural sinus.<h4>Methods</h4>We performed a transcranial Doppler ultrasound study to register the mean BFV of the straight sinus (",https://europepmc.org/article/MED/15528885,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,4,25664663,PMC4322040,10.1371/journal.pone.0117939,Optimal optic nerve sheath diameter threshold for the identification of elevated opening pressure on lumbar puncture in a Chinese population,Wang L,PloS one,2015,research-article|Journal Article,Y,Y,cc by,64,"Ultrasonography of the optic nerve sheath diameter (ONSD) is a non-invasive and rapid method that might be helpful in the identification of increased intracranial pressure (ICP). The use of an ONSD greater than 5 mm on ultrasound as an indicator of increased ICP in a Caucasian population has been studied. However, the cut-off point of this predictor in Chinese patients has not been established. Th",https://europepmc.org/article/MED/25664663,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,5,11436885,,10.1007/s002470100453,Diagnostic and interventional ultrasonography in neonatal and infant lumbar puncture,Coley BD,Pediatric radiology,2001,Journal Article,N,N,,55,"<h4>Background</h4>Lumbar puncture (LP) may be unsuccessful clinically, prompting image-guided LP by radiologists. Objective. To investigate the utility of ultrasound (US) in diagnosing the cause of failed LP and in guiding LP.<h4>Materials and methods</h4>Neonates and infants referred for image-guided LP underwent spine US of the thecal sac. When indicated, image-guided LP was performed.<h4>Resul",https://europepmc.org/article/MED/11436885,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,6,17349903,,10.1016/j.ajem.2006.08.013,Emergency physicians can easily obtain ultrasound images of anatomical landmarks relevant to lumbar puncture,Ferre RM,The American journal of emergency medicine,2007,Journal Article,N,N,,51,"<h4>Introduction</h4>Although ultrasound has been used in administering epidural anesthesia, it is unknown if emergency physicians (EPs) can obtain ultrasound images useful for lumbar puncture.<h4>Objective</h4>The objective of the study was to determine EPs' ability to apply a standardized ultrasound technique for visualizing landmarks surrounding the dural space.<h4>Methods</h4>Two EPs sought to",https://europepmc.org/article/MED/17349903,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,7,27574571,PMC4987119,10.1212/cpj.0000000000000265,Ultrasound guidance for lumbar puncture,Soni NJ,Neurology. Clinical practice,2016,review-article|Review|Journal Article,N,Y,,46,<h4>Purpose of review</h4>To review the literature and describe techniques to use ultrasound to guide performance of lumbar puncture (LP).<h4>Recent findings</h4>Ultrasound evaluation of the lumbar spine has been shown in randomized trials to improve LP success rates while reducing the number of attempts and the number of traumatic taps.<h4>Summary</h4>Ultrasound mapping of the lumbar spine reveal,https://europepmc.org/article/MED/27574571,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,8,15290485,,10.1007/s10140-003-0286-3,"Optimal patient position for lumbar puncture, measured by ultrasonography",Sandoval M,Emergency radiology,2004,Journal Article,N,N,,44,"The purpose of this study was to identify the patient position for lumbar puncture associated with the widest interspinous distance utilizing ultrasound. Sixteen healthy adult volunteers were placed in three positions commonly used for lumbar puncture (lateral recumbent with knees to chest, sitting and bent forward over an adjustable bedside stand, and sitting with feet supported and chest to knee",https://europepmc.org/article/MED/15290485,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,9,24673668,,10.1111/acem.12305,Ultrasound for routine lumbar puncture,Peterson MA,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine,2014,Randomized Controlled Trial|Journal Article,N,N,,37,"<h4>Objectives</h4>The objective was to determine if use of ultrasound (US) by emergency physicians (EPs) to localize spinal landmarks improves the performance of lumbar puncture (LP).<h4>Methods</h4>This was a prospective, randomized, controlled study conducted in a county teaching hospital. Subjects, adults 18 years of age or older who were to receive LPs for routine clinical care in the emergen",https://europepmc.org/article/MED/24673668,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,10,23572300,,10.5603/ait.2013.0001,Anatomical landmarks based assessment of intravertebral space level for lumbar puncture is misleading in more than 30%,Duniec L,Anaesthesiology intensive therapy,2013,Journal Article,N,N,,36,"<h4>Background</h4>The anatomical landmark which is used to identify the correct level for lumbar puncture is the line connecting both iliac crests. This crosses the vertebra column at the level of the L4-L5 intervertebral space or L4 vertebra. It can be difficult to determine in a group of orthopaedic patients due to chronic orthopaedic disorders, chronic pain, overweight, or difficulties with po",https://europepmc.org/article/MED/23572300,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,11,15707816,,10.1016/j.jemermed.2004.09.008,Bedside ultrasound for difficult lumbar puncture,Peterson MA,The Journal of emergency medicine,2005,Journal Article|Case Reports,N,N,,35,"Lumbar puncture is a common procedure performed in the emergency department for evaluation of several life-threatening conditions, including meningitis and subarachnoid hemorrhage. We describe the use of bedside ultrasound to assist in performance of the lumbar puncture in situations where the standard ""blind"" technique of needle insertion using palpable spinal landmarks is likely to be difficult ",https://europepmc.org/article/MED/15707816,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,12,20403933,,10.1542/peds.2009-0646,Positioning for lumbar puncture in children evaluated by bedside ultrasound,Abo A,Pediatrics,2010,Comparative Study|Journal Article,N,N,,34,"<h4>Background</h4>Lumbar punctures are commonly performed in the pediatric emergency department. There is no standard, recommended, optimal position for children who are undergoing the procedure.<h4>Objective</h4>To determine a position for lumbar punctures where the interspinous space is maximized, as measured by bedside ultrasound.<h4>Methods</h4>A prospective convenience sample of children und",https://europepmc.org/article/MED/20403933,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,13,25804431,,10.1007/s12630-015-0367-2,Computerized training system for ultrasound-guided lumbar puncture on abnormal spine models: a randomized controlled trial,Keri Z,Canadian journal of anaesthesia = Journal canadien d'anesthesie,2015,"Comparative Study|Research Support, Non-U.S. Gov't|Randomized Controlled Trial|Journal Article",N,N,,32,"<h4>Purpose</h4>A randomized controlled trial was carried out to determine whether Perk Tutor, a computerized training platform that displays an ultrasound image and real-time needle position in a three-dimensional (3D) anatomical model, would benefit residents learning ultrasound-guided lumbar puncture (LP) in simulation phantoms with abnormal spinal anatomy.<h4>Methods</h4>Twenty-four residents ",https://europepmc.org/article/MED/25804431,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
lumbar_puncture_clinical,14,24124427,PMC3793375,,Ultrasound guided lumbar puncture in emergency department: Time saving and less complications,Mofidi M,Journal of research in medical sciences : the official journal of Isfahan University of Medical Sciences,2013,research-article|Journal Article,Y,Y,cc by-nc-sa,30,"<h4>Background</h4>Lumbar puncture (LP) is an essential procedure in the diagnosis and treatment of several critical situations. This procedure is routinely performed by palpating external landmarks to find the most appropriate inter-spinous space. In the current study, we compared surface landmark and ultrasound (US) guided LP in different aspects.<h4>Materials and methods</h4>This clinical trial",https://europepmc.org/article/MED/24124427,"(TITLE:""lumbar puncture"") AND (TITLE:ultrasound OR TITLE:ultrasonography OR ABSTRACT:ultrasound)"
